analysis,spot_size_um,Li7_mean,Na23_mean,Al27_mean,K39_mean,Ca43_mean,Ti48_mean,V50_mean,V51_mean,Cr52_mean,Mn55_mean,Fe57_mean,Co59_mean,Ni62_mean,Cu65_mean,Zn66_mean,Rb85_mean,Sr88_mean,Y89_mean,Zr91_mean,Nb93_mean,Ag107_mean,Sn118_mean,Cs133_mean,Ba137_mean,La139_mean,Ce140_mean,Pr141_mean,Nd146_mean,Sm147_mean,Eu153_mean,Gd157_mean,Tb159_mean,Dy163_mean,Ho165_mean,Er166_mean,Tm169_mean,Yb172_mean,Lu175_mean,Hf178_mean,Ta181_mean,W182_mean,W184_mean,Pb208_mean,Th232_mean,U238_mean
muscovite 31,50,434.5999391,3423.669598,205964.9615,105125.024,<LOD,14.11310163,57.44331022,0.930603661,1.547820928,620.2986866,6273.973495,0.199812743,0.18912624,0.282743534,236.0027558,3853.281606,2.36923358,0.007872807,1.642521448,47.15257668,<LOD,349.3968868,86.88039567,4.156662124,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.117156104,29.28981197,2.905202584,2.836439734,12.5138383,<LOD,0.174494803
muscovite 32,50,453.8136658,3744.337005,209666.1695,108574.2627,<LOD,20.80528023,93.24647718,0.555960595,<LOD,595.1324181,5801.477347,0.162057522,0.472329563,0.156336322,184.8730743,3666.815495,1.591987512,<LOD,0.155715618,55.04791955,<LOD,252.7111439,66.16988582,4.186859695,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.080714761,29.2977495,2.914746053,3.18016782,15.40876054,<LOD,0.070859787
muscovite 33,50,478.9299322,4560.178116,201176.8197,101277.2998,<LOD,59.36382444,260.5120891,9.777441958,<LOD,348.6796785,4833.196443,0.25863338,0.46917012,<LOD,163.1315963,3676.779826,1.433992358,<LOD,0.217774658,101.6998652,<LOD,428.5714798,83.65015967,2.996663744,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.077410512,42.39339206,2.213850204,2.189406288,17.98875302,<LOD,<LOD
muscovite 34,50,588.6137936,4586.436832,211769.2047,104769.2986,<LOD,106.9554875,441.863404,16.50917126,<LOD,401.1681219,5635.263528,0.358087407,0.465274957,<LOD,203.2154735,4632.902023,2.017152869,<LOD,0.236542482,111.3942722,<LOD,423.5566284,157.420266,4.72577088,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.105909569,52.42089319,2.509001708,2.605901673,16.21372161,<LOD,<LOD
muscovite 35,50,545.3672221,4041.09583,207645.6552,101950.1915,<LOD,106.1922842,439.097329,15.07455015,2.267259165,483.251834,5827.456418,0.322917368,0.442994121,<LOD,210.5042751,4560.354319,1.912020044,<LOD,0.255256869,122.6683241,<LOD,435.4565706,99.506483,5.300728723,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.088543417,53.72185971,3.569083673,3.595010793,17.23084073,<LOD,<LOD
muscovite 36,50,358.1592275,3189.57918,202311.4488,103030.4662,<LOD,40.52832798,172.4363954,4.294155591,1.243303638,583.8115456,5603.687045,0.2516292,0.244128733,<LOD,220.2026346,6036.583197,1.006569853,<LOD,0.241104885,110.4063674,<LOD,369.9725652,387.4945968,3.133370089,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.093419557,56.4208455,1.606933411,1.801543901,11.92834464,<LOD,0.00928885
muscovite 37,50,394.6147217,3656.899149,211582.8936,104115.0004,125.8961857,120.1836116,487.60247,15.3375656,<LOD,585.2111282,6067.639124,0.316192006,<LOD,<LOD,225.3417205,5299.607831,1.698650673,<LOD,0.206544138,130.2950973,<LOD,417.4538513,233.19529,10.49958949,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.073715838,62.40556347,2.39829674,2.419862464,13.28350108,<LOD,0.004136829
muscovite 38,50,421.7108734,3973.012408,210579.4077,104813.2,<LOD,126.4570939,524.0214652,15.561917,<LOD,465.285308,5606.558044,0.26790271,<LOD,<LOD,295.5850414,5165.748704,1.390486758,<LOD,0.175195164,118.6888736,<LOD,426.2398283,256.1034819,7.560307795,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.077391886,58.00095397,2.01028645,2.031174557,13.36529581,<LOD,<LOD
muscovite 39,50,360.3014897,3708.13211,211861.8751,107480.1267,364.7792832,13.07493488,60.86072149,0.741204847,1.098432772,601.7123533,5759.02066,0.294149289,<LOD,0.490622535,230.3755252,6268.263599,0.733641253,<LOD,0.400072708,158.2880295,<LOD,429.4590003,153.8348356,0.856515574,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.043945142,23.62566511,1.17801326,1.130097635,11.2624193,<LOD,0.006223193
muscovite 40,50,341.3913549,3816.711723,200304.3335,109277.1683,<LOD,7.763010536,33.60343724,<LOD,2.490557687,469.389115,5634.650999,0.22420476,<LOD,<LOD,406.00817,6190.847307,0.65791267,<LOD,0.155135247,148.3625452,<LOD,418.4533782,141.9545904,0.65147508,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.059120507,21.27516584,1.084250755,1.01123337,7.817189775,<LOD,<LOD
muscovite 41,50,526.450091,4220.856922,208290.2605,103360.4639,323.8615653,135.8829605,539.5640751,13.10821466,<LOD,587.0083366,6525.641194,0.344775463,<LOD,<LOD,258.8272202,5653.84793,1.427126319,<LOD,0.230307339,126.1031002,<LOD,415.4379688,574.992098,4.916584169,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.073947781,54.42293574,1.951775116,1.952696757,11.84650985,<LOD,<LOD
muscovite 42,50,493.5259588,3889.688217,196915.4983,106662.2832,<LOD,41.3896828,178.9004448,8.52548938,<LOD,681.7217854,7539.485534,0.512922978,0.304465187,<LOD,283.776299,4310.557469,2.263929738,<LOD,0.276371741,143.1670994,<LOD,420.6939744,125.8618632,14.81129876,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.069778858,50.89551588,6.070696264,6.156050574,16.96895732,<LOD,0.004700331
muscovite 43,150,372.9860491,4813.968806,175614.9475,85239.11752,671.3709876,12.35992567,53.24800311,0.070428495,1.199695155,976.7824717,7295.314676,0.136523161,1.161940403,1.022093611,905.9212252,5009.686456,0.681017219,0.003910293,0.277678466,163.0009007,0.040272956,668.4472527,104.4133068,3.558624478,0.006953548,0.007872076,0.000355804,0.001974929,<LOD,<LOD,<LOD,0.000318554,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.057406839,13.41961745,1.473982786,1.407524018,9.634599347,<LOD,0.595657493
muscovite 44,150,352.5795277,2969.324101,196659.7882,83736.68083,1357.006445,21.33638853,93.17215456,0.183467715,1.110788103,1146.635614,9132.090679,0.159526263,1.178590323,0.605408196,896.4211019,6538.484222,5.191491121,0.195820466,1.494883844,144.809171,0.016169567,663.7673438,243.8538148,3.953458661,0.144235099,0.009081694,0.004814004,0.019870741,0.003419265,0.000572614,0.009032356,0.001711914,0.00423421,0.000882493,0.005209013,0.000600392,0.002044067,<LOD,0.156968687,85.53558208,2.308574319,2.395736946,11.57578212,0.002003182,2.006837725
muscovite 45,150,365.2481731,4544.454289,204079.341,79580.46447,334.4870923,11.56422254,57.76876691,0.038230168,0.87549341,695.6304211,7581.684804,0.096507953,0.30374152,0.146366794,771.1555984,5013.016579,0.290134452,0.000650867,0.226995612,172.9033832,0.012384992,634.8543326,113.3307344,1.437044507,0.000662099,0.002143894,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.065091615,14.96881749,1.507286686,1.498027624,10.02468117,<LOD,0.06147084
muscovite 46,150,393.1906844,5094.499189,195137.6146,83792.54727,459.7701073,12.12090741,57.19890211,0.035254686,1.010942987,868.510524,7769.48206,0.079579657,0.655687025,0.560998662,1255.07513,4905.27163,0.741155686,0.007550118,0.302521664,169.3454116,0.022650063,722.682173,103.0876053,3.344361514,0.008868285,0.005554701,0.000984838,0.001807482,<LOD,<LOD,<LOD,0.000312169,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.056324476,14.48775813,1.479503108,1.498831233,8.800968935,<LOD,0.419197875
muscovite 47,150,375.3796061,4700.274099,181923.4333,77767.77061,478.5490884,11.82323809,56.06305514,0.029468225,0.855375369,924.6720599,7595.445829,0.111869785,0.433838323,0.445194064,939.2163193,4627.818879,0.496753264,0.003417982,0.274957228,162.8102841,0.021210408,679.2044875,100.7221832,2.029929965,0.004576001,0.004572022,<LOD,<LOD,<LOD,0.001037527,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.051725664,14.13886993,1.450089305,1.402742011,9.43975138,<LOD,0.360045181
