analysis,Li7_mean,Na23_mean,Al27_mean,K39_mean,Ca43_mean,Ti48_mean,V50_mean,V51_mean,Cr52_mean,Mn55_mean,Fe57_mean,Co59_mean,Ni62_mean,Cu65_mean,Zn66_mean,Rb85_mean,Sr88_mean,Y89_mean,Zr91_mean,Nb93_mean,Ag107_mean,Sn118_mean,Cs133_mean,Ba137_mean,La139_mean,Ce140_mean,Pr141_mean,Nd146_mean,Sm147_mean,Eu153_mean,Gd157_mean,Tb159_mean,Dy163_mean,Ho165_mean,Er166_mean,Tm169_mean,Yb172_mean,Lu175_mean,Hf178_mean,Ta181_mean,W182_mean,W184_mean,Pb208_mean,Th232_mean,U238_mean
biotite 19,6433.146257,556.0060687,98347.52009,85744.63797,180.2412589,1172.386549,5156.651476,98.65322883,17.49693873,5852.081697,121399.5886,58.65478817,260.5613904,0.56667541,2205.486392,9313.276691,7.823040106,0.020975387,0.336106294,273.8517124,<LOD,350.8401875,888.8721733,327.4859595,0.079177376,0.090817767,0.010145739,0.043246342,<LOD,0.008645045,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.169847151,604.4873821,3.321397194,3.211307292,7.784309386,0.00896514,0.094639947
biotite 20,6635.702335,554.9944409,100454.7842,85940.89435,<LOD,965.0904882,4037.758032,91.86187968,208.346598,5788.441352,117870.6161,63.84535325,276.8901458,0.623187183,2177.059482,8982.55549,7.632073771,0.018482323,16.65370109,274.7334893,0.028895145,419.2903116,801.8710787,234.8346478,0.045431185,0.059628041,0.004476189,0.026086023,<LOD,0.005128747,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,3.274895526,813.7788845,3.404287184,3.563935389,7.613693171,0.019153431,0.088252428
muscovite 1,3226.16858,3911.48696,181798.294,101279.4227,305.1393154,295.0720955,1107.064146,68.44002295,35.83888768,770.9587037,16057.96612,8.371986353,42.68549485,0.192768457,286.1648665,9821.147558,91.02611436,0.01113658,0.621275187,43.88335924,<LOD,848.3175179,2865.404804,85.63253864,0.011079699,0.023795562,0.003835249,<LOD,<LOD,0.009892495,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.182442188,68.14873367,5.217018263,5.71340425,16.25538131,<LOD,0.042890091
muscovite 2,3068.344224,4120.051707,180808.2965,97479.51677,418.0477373,307.6433523,1143.885812,78.41606829,87.57569272,694.3827255,15048.80569,7.465569781,39.86337443,0.415362734,238.7979712,8892.584706,101.4222975,0.009785242,0.602977816,53.528402,<LOD,785.6215286,2202.598666,80.9580754,0.039300256,0.093194418,0.004111888,0.034179387,<LOD,0.01414866,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.154178859,88.08091683,4.808557089,4.625959025,17.73745245,<LOD,0.19211043
muscovite 3,3248.960119,4531.311303,193037.0882,101807.5501,322.1748396,375.5485751,1604.85767,81.27962447,526.7598711,764.2688328,16263.95401,7.958990388,46.33503726,0.232023447,277.4134487,9797.54535,60.87971624,0.011171175,0.850592724,163.0238925,0.042029783,1016.005408,1278.963402,128.4782664,0.081094846,0.063375442,0.008646062,0.016210934,<LOD,0.012204981,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.182778951,155.7281265,7.708291771,7.714238631,14.94278782,<LOD,0.136072991
muscovite 4,3155.306739,3905.733739,183409.5613,103631.6758,<LOD,295.4372549,1096.535056,71.47142818,25.41592432,789.2595497,16395.81233,8.055339617,44.30102335,<LOD,290.9325329,10693.04137,61.33703581,<LOD,0.353506956,60.07015542,<LOD,852.7068311,2534.534199,55.45458137,0.007022682,0.003396201,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.207138258,96.67334734,6.84250643,7.025174078,13.47452066,<LOD,<LOD
muscovite 5,3160.98919,4065.337371,184205.6915,102345.676,269.2213779,291.6511137,1089.647782,71.62932375,26.37742057,735.6035777,16490.05826,8.439447653,47.8096978,0.324662389,299.214528,10350.85936,79.37800458,0.026999681,0.440740054,42.71083034,<LOD,848.881269,2852.785974,49.39385011,0.141406376,0.147692249,0.013877288,0.070451601,<LOD,0.004962338,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.156227433,67.96926683,5.424342222,5.464472391,16.00686276,<LOD,0.067133733
muscovite 6,2992.932868,4271.620672,185761.6731,102043.3194,286.1336953,309.340607,1152.903234,82.20542882,10.88942106,625.3104068,14584.7604,6.731921218,37.1735528,0.197367736,231.2288472,7920.490597,139.0754101,<LOD,0.352056152,59.89480357,<LOD,935.2670951,1088.042045,161.5013724,<LOD,0.004086485,<LOD,<LOD,<LOD,0.010461557,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.116220425,106.7231827,4.865395787,4.984877994,20.10711679,<LOD,0.006540371
muscovite 7,3096.291559,3966.774656,182276.4943,102907.6229,314.0814848,298.3336039,1114.024079,85.96235417,12.93113284,650.9566583,15255.11398,6.828245159,41.11786162,<LOD,226.0195188,8252.553048,125.9058,0.008317985,0.508779161,51.713845,<LOD,852.0041688,1516.541525,119.8919778,0.011811467,0.012689651,0.002722998,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.143068491,89.79975829,4.286437026,4.324449778,18.87189745,<LOD,0.0194338
muscovite 8,3052.665047,4111.885661,181027.0624,100107.88,411.5614505,312.8881407,1185.461738,83.15313027,18.79045385,682.7138892,15697.30058,7.439473763,40.84803018,0.202607033,250.392956,8211.395802,135.3869305,0.003587194,0.390971297,59.99141893,<LOD,891.4442451,2046.512299,110.039037,0.013298817,0.018012105,<LOD,<LOD,<LOD,0.009509924,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.168757368,98.08893674,5.339915441,5.208171298,17.7313801,<LOD,<LOD
muscovite 9,2985.920807,3863.359216,178979.0791,101518.3391,403.489854,292.4464711,1109.97537,83.89753394,32.62359232,618.4577042,14440.13146,6.433987498,38.78582794,<LOD,206.0591589,6916.689914,149.6773914,<LOD,0.283033233,69.48270056,<LOD,910.8373749,1179.858879,202.266551,<LOD,0.003903315,<LOD,<LOD,<LOD,0.013241011,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.130292613,106.3127223,5.555901727,5.227330381,18.97909658,<LOD,<LOD
muscovite 10,3170.814034,4038.869614,181068.8074,99660.25733,324.5871405,331.3337877,1244.955052,91.34230895,25.81617197,707.7706789,16020.51101,7.302945664,40.65918588,0.329732735,253.7827886,9500.909337,107.5584013,0.081094837,0.922662423,38.06417578,<LOD,876.9861113,1888.436569,130.5531815,0.311880739,0.528375623,0.066011628,0.265694192,0.074122372,0.011790049,0.026804729,0.00324483,<LOD,0.00621971,<LOD,<LOD,<LOD,<LOD,0.291735344,63.98854416,5.046299665,5.352291504,18.9855794,<LOD,0.640889419
muscovite 11,2894.795694,4336.904233,179476.3089,96922.11484,224.8134423,284.3394857,1091.137837,66.24019975,24.41262577,667.8919843,14770.35326,6.684517786,38.48122095,<LOD,257.4007331,9146.506452,70.40502996,<LOD,0.386687472,32.30865008,<LOD,671.3254996,2045.708537,53.69538191,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.141015072,62.82067918,4.184584948,4.361746385,14.7909361,<LOD,<LOD
muscovite 12,3067.864273,4313.686164,189166.2074,104664.6864,327.2187969,345.7995859,1329.366237,86.824674,78.80658797,678.7782058,15581.46927,6.81418342,41.02540485,0.265340831,251.5347463,7344.667151,87.23288558,0.015270754,0.571734061,126.4169453,<LOD,1048.238255,279.2263067,508.9807675,0.02771082,0.035816729,0.003631295,0.019639309,<LOD,0.01163298,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.341313688,223.5660054,12.68561583,12.85666432,16.7327188,<LOD,0.030993804
muscovite 13,3160.370434,4177.506304,188204.0754,101150.4625,540.8896624,329.0681358,1318.983179,88.90027835,159.6671499,661.7099959,15899.97699,7.037600069,41.52258174,0.742869388,247.0654787,7238.2428,162.2214793,0.303818281,2.081507632,71.85093817,<LOD,978.7428983,2155.925621,211.0175866,1.99875571,3.184614651,0.392130348,1.791315284,0.240904711,0.074255867,0.222598283,0.009669701,0.049010013,0.011375341,<LOD,<LOD,<LOD,<LOD,0.496505149,106.4998815,4.833230043,4.803935213,23.65718925,0.016021868,1.497829174
muscovite 14,3093.839975,4157.879562,179570.7255,98850.04146,192.5905223,294.9350608,1133.522515,81.9243197,47.72053104,688.7327846,15733.27744,6.774584256,39.15468326,0.254257698,245.5996579,9186.715822,86.80488912,0.012141559,0.565119771,33.72779008,<LOD,675.4381738,2100.03549,64.50858508,<LOD,0.137274037,0.011627393,0.073568566,<LOD,0.01735134,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.230119749,59.18175137,3.263455338,3.528844142,17.29824536,<LOD,0.231055834
muscovite 15,7231.414633,6292.080152,136400.9511,94180.73252,2448.4181,1285.075211,5168.878701,123.8142349,110.4778019,6440.961463,137752.2169,71.77080301,264.6100678,4.024123177,2478.839713,9951.947997,162.3558338,0.204080543,4.043542914,258.4209918,<LOD,416.1935095,1551.401973,558.5613344,1.061880484,1.449919394,0.142493472,0.765325302,0.133216482,0.05344402,0.100346424,0.011923542,0.017458734,0.008998857,0.009402189,<LOD,<LOD,<LOD,2.001425594,423.9788398,2.607443926,2.750921101,17.21539866,0.027284057,1.441192629
muscovite 16,8199.582239,682.3618905,134949.7969,107474.7006,353.2318107,1496.10986,6494.902502,137.5672051,124.8181617,7861.51818,157098.2982,80.88842935,371.099329,5.659283402,3214.511465,13716.14245,10.5124036,0.076613895,1.449446324,302.3726846,<LOD,417.0079692,3012.71206,731.2655738,0.402006059,0.528520148,0.040523163,0.305049369,0.056951289,0.02119415,0.037897307,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.810153277,276.2010862,2.920222734,3.124632671,10.71823815,0.025799003,0.292606612
muscovite 17,8112.978329,633.7973738,139963.8087,108727.2762,221.2398178,1728.665022,7349.150348,161.0986069,168.0120311,8047.000828,167975.8887,79.43867831,300.0160068,1.826766951,3030.77794,12558.92829,13.06963407,0.02019677,0.132328383,331.7374542,<LOD,480.8298899,2161.366069,728.0747451,0.071248949,0.109109346,0.014602721,0.052583117,<LOD,0.013424632,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.054618792,526.3730624,3.374033844,3.556725038,13.43890326,0.013890763,0.163166285
